D,U,V
205,-80,-60
198,-80,-59
500,-80,-58
404,-80,-57
362,-80,-56
347,-80,-55
321,-80,-54
302,-80,-53
302,-80,-52
272,-80,-51
256,-80,-50
244,-80,-49
205,-80,-48
2,-80,-47
0,-80,-46
0,-80,-45
2,-80,-44
1,-80,-43
2,-80,-42
2,-80,-41
2,-80,-40
2,-80,-39
0,-80,-38
2,-80,-37
2,-80,-36
2,-80,-35
2,-80,-34
92,-80,-33
74,-80,-32
58,-80,-31
63,-80,-30
62,-80,-29
66,-80,-28
74,-80,-27
86,-80,-26
2,-80,-25
2,-80,-24
0,-80,-23
2,-80,-22
2,-80,-21
2,-80,-20
2,-80,-19
64,-80,-18
62,-80,-17
74,-80,-16
63,-79,-60
37,-79,-59
2,-79,-58
359,-79,-57
399,-79,-56
400,-79,-55
388,-79,-54
352,-79,-53
304,-79,-52
271,-79,-51
271,-79,-50
263,-79,-49
216,-79,-48
2,-79,-47
0,-79,-46
2,-79,-45
2,-79,-44
2,-79,-43
2,-79,-42
2,-79,-41
0,-79,-40
0,-79,-39
0,-79,-38
0,-79,-37
2,-79,-36
138,-79,-35
134,-79,-34
74,-79,-33
78,-79,-32
78,-79,-31
59,-79,-30
63,-79,-29
54,-79,-28
66,-79,-27
88,-79,-26
107,-79,-25
62,-79,-24
41,-79,-23
34,-79,-22
42,-79,-21
29,-79,-20
20,-79,-19
81,-79,-18
54,-79,-17
70,-79,-16
50,-78,-60
77,-78,-59
2,-78,-58
362,-78,-57
396,-78,-56
395,-78,-55
392,-78,-54
329,-78,-53
287,-78,-52
294,-78,-51
304,-78,-50
320,-78,-49
325,-78,-48
170,-78,-47
66,-78,-46
2,-78,-45
2,-78,-44
0,-78,-43
0,-78,-42
2,-78,-41
2,-78,-40
0,-78,-39
2,-78,-38
0,-78,-37
2,-78,-36
75,-78,-35
86,-78,-34
78,-78,-33
72,-78,-32
75,-78,-31
68,-78,-30
2,-78,-29
50,-78,-28
62,-78,-27
70,-78,-26
70,-78,-25
68,-78,-24
74,-78,-23
86,-78,-22
66,-78,-21
74,-78,-20
82,-78,-19
71,-78,-18
66,-78,-17
64,-78,-16
66,-77,-60
63,-77,-59
10,-77,-58
366,-77,-57
393,-77,-56
381,-77,-55
369,-77,-54
306,-77,-53
292,-77,-52
279,-77,-51
310,-77,-50
329,-77,-49
360,-77,-48
328,-77,-47
245,-77,-46
190,-77,-45
111,-77,-44
13,-77,-43
0,-77,-42
0,-77,-41
2,-77,-40
2,-77,-39
2,-77,-38
0,-77,-37
84,-77,-36
75,-77,-35
66,-77,-34
86,-77,-33
62,-77,-32
70,-77,-31
74,-77,-30
2,-77,-29
0,-77,-28
55,-77,-27
62,-77,-26
62,-77,-25
53,-77,-24
62,-77,-23
66,-77,-22
62,-77,-21
71,-77,-20
62,-77,-19
62,-77,-18
58,-77,-17
56,-77,-16
62,-76,-60
67,-76,-59
2,-76,-58
344,-76,-57
391,-76,-56
388,-76,-55
385,-76,-54
319,-76,-53
282,-76,-52
271,-76,-51
266,-76,-50
284,-76,-49
316,-76,-48
359,-76,-47
406,-76,-46
384,-76,-45
313,-76,-44
256,-76,-43
206,-76,-42
99,-76,-41
8,-76,-40
0,-76,-39
2,-76,-38
2,-76,-37
58,-76,-36
56,-76,-35
64,-76,-34
74,-76,-33
78,-76,-32
74,-76,-31
57,-76,-30
2,-76,-29
2,-76,-28
10,-76,-27
8,-76,-26
13,-76,-25
21,-76,-24
22,-76,-23
29,-76,-22
40,-76,-21
54,-76,-20
62,-76,-19
58,-76,-18
50,-76,-17
62,-76,-16
66,-75,-60
0,-75,-59
40,-75,-58
362,-75,-57
395,-75,-56
399,-75,-55
391,-75,-54
355,-75,-53
292,-75,-52
256,-75,-51
255,-75,-50
255,-75,-49
267,-75,-48
298,-75,-47
323,-75,-46
384,-75,-45
432,-75,-44
366,-75,-43
321,-75,-42
245,-75,-41
131,-75,-40
78,-75,-39
74,-75,-38
8,-75,-37
118,-75,-36
78,-75,-35
70,-75,-34
58,-75,-33
66,-75,-32
70,-75,-31
59,-75,-30
2,-75,-29
0,-75,-28
0,-75,-27
2,-75,-26
2,-75,-25
0,-75,-24
2,-75,-23
15,-75,-22
51,-75,-21
62,-75,-20
58,-75,-19
58,-75,-18
50,-75,-17
54,-75,-16
50,-74,-60
1,-74,-59
283,-74,-58
348,-74,-57
388,-74,-56
388,-74,-55
370,-74,-54
324,-74,-53
284,-74,-52
259,-74,-51
248,-74,-50
248,-74,-49
248,-74,-48
260,-74,-47
283,-74,-46
310,-74,-45
352,-74,-44
373,-74,-43
421,-74,-42
351,-74,-41
288,-74,-40
253,-74,-39
225,-74,-38
150,-74,-37
126,-74,-36
74,-74,-35
70,-74,-34
78,-74,-33
67,-74,-32
66,-74,-31
66,-74,-30
2,-74,-29
2,-74,-28
2,-74,-27
0,-74,-26
0,-74,-25
0,-74,-24
2,-74,-23
3,-74,-22
54,-74,-21
38,-74,-20
55,-74,-19
54,-74,-18
54,-74,-17
41,-74,-16
50,-73,-60
40,-73,-59
278,-73,-58
366,-73,-57
384,-73,-56
377,-73,-55
370,-73,-54
306,-73,-53
277,-73,-52
254,-73,-51
248,-73,-50
252,-73,-49
256,-73,-48
255,-73,-47
259,-73,-46
260,-73,-45
283,-73,-44
305,-73,-43
324,-73,-42
368,-73,-41
390,-73,-40
391,-73,-39
348,-73,-38
313,-73,-37
260,-73,-36
88,-73,-35
68,-73,-34
74,-73,-33
46,-73,-32
36,-73,-31
21,-73,-30
2,-73,-29
2,-73,-28
0,-73,-27
2,-73,-26
0,-73,-25
2,-73,-24
2,-73,-23
0,-73,-22
38,-73,-21
50,-73,-20
50,-73,-19
48,-73,-18
50,-73,-17
18,-73,-16
39,-72,-60
2,-72,-59
302,-72,-58
366,-72,-57
381,-72,-56
381,-72,-55
366,-72,-54
303,-72,-53
272,-72,-52
252,-72,-51
244,-72,-50
244,-72,-49
256,-72,-48
260,-72,-47
259,-72,-46
262,-72,-45
260,-72,-44
259,-72,-43
267,-72,-42
271,-72,-41
291,-72,-40
307,-72,-39
298,-72,-38
321,-72,-37
412,-72,-36
378,-72,-35
302,-72,-34
225,-72,-33
2,-72,-32
2,-72,-31
0,-72,-30
0,-72,-29
0,-72,-28
0,-72,-27
2,-72,-26
0,-72,-25
2,-72,-24
2,-72,-23
2,-72,-22
2,-72,-21
2,-72,-20
0,-72,-19
0,-72,-18
2,-72,-17
2,-72,-16
0,-71,-60
1,-71,-59
274,-71,-58
366,-71,-57
384,-71,-56
384,-71,-55
380,-71,-54
332,-71,-53
264,-71,-52
244,-71,-51
237,-71,-50
240,-71,-49
248,-71,-48
242,-71,-47
252,-71,-46
252,-71,-45
256,-71,-44
256,-71,-43
259,-71,-42
264,-71,-41
271,-71,-40
276,-71,-39
284,-71,-38
313,-71,-37
359,-71,-36
409,-71,-35
369,-71,-34
271,-71,-33
90,-71,-32
2,-71,-31
0,-71,-30
2,-71,-29
3,-71,-28
2,-71,-27
2,-71,-26
0,-71,-25
2,-71,-24
2,-71,-23
2,-71,-22
0,-71,-21
0,-71,-20
1,-71,-19
2,-71,-18
2,-71,-17
2,-71,-16
0,-70,-60
2,-70,-59
250,-70,-58
362,-70,-57
381,-70,-56
370,-70,-55
356,-70,-54
307,-70,-53
241,-70,-52
228,-70,-51
233,-70,-50
225,-70,-49
232,-70,-48
244,-70,-47
244,-70,-46
248,-70,-45
249,-70,-44
252,-70,-43
256,-70,-42
249,-70,-41
255,-70,-40
256,-70,-39
256,-70,-38
256,-70,-37
271,-70,-36
298,-70,-35
339,-70,-34
355,-70,-33
252,-70,-32
2,-70,-31
2,-70,-30
2,-70,-29
2,-70,-28
0,-70,-27
0,-70,-26
2,-70,-25
2,-70,-24
0,-70,-23
0,-70,-22
0,-70,-21
2,-70,-20
2,-70,-19
2,-70,-18
2,-70,-17
2,-70,-16
2,-69,-60
1,-69,-59
248,-69,-58
355,-69,-57
381,-69,-56
373,-69,-55
363,-69,-54
276,-69,-53
228,-69,-52
205,-69,-51
217,-69,-50
217,-69,-49
221,-69,-48
229,-69,-47
236,-69,-46
244,-69,-45
240,-69,-44
252,-69,-43
256,-69,-42
255,-69,-41
256,-69,-40
256,-69,-39
256,-69,-38
256,-69,-37
255,-69,-36
259,-69,-35
298,-69,-34
344,-69,-33
261,-69,-32
3,-69,-31
2,-69,-30
0,-69,-29
2,-69,-28
2,-69,-27
0,-69,-26
0,-69,-25
0,-69,-24
2,-69,-23
2,-69,-22
2,-69,-21
0,-69,-20
0,-69,-19
2,-69,-18
2,-69,-17
0,-69,-16
0,-68,-60
5,-68,-59
252,-68,-58
359,-68,-57
378,-68,-56
381,-68,-55
355,-68,-54
290,-68,-53
222,-68,-52
196,-68,-51
194,-68,-50
186,-68,-49
192,-68,-48
205,-68,-47
222,-68,-46
240,-68,-45
240,-68,-44
244,-68,-43
252,-68,-42
253,-68,-41
245,-68,-40
252,-68,-39
248,-68,-38
252,-68,-37
256,-68,-36
259,-68,-35
275,-68,-34
306,-68,-33
313,-68,-32
38,-68,-31
2,-68,-30
0,-68,-29
0,-68,-28
2,-68,-27
3,-68,-26
2,-68,-25
2,-68,-24
0,-68,-23
2,-68,-22
2,-68,-21
2,-68,-20
0,-68,-19
0,-68,-18
2,-68,-17
2,-68,-16
2,-67,-60
0,-67,-59
127,-67,-58
369,-67,-57
384,-67,-56
384,-67,-55
370,-67,-54
304,-67,-53
206,-67,-52
162,-67,-51
114,-67,-50
90,-67,-49
51,-67,-48
32,-67,-47
118,-67,-46
162,-67,-45
182,-67,-44
237,-67,-43
248,-67,-42
248,-67,-41
245,-67,-40
244,-67,-39
248,-67,-38
244,-67,-37
249,-67,-36
250,-67,-35
248,-67,-34
245,-67,-33
256,-67,-32
96,-67,-31
0,-67,-30
2,-67,-29
2,-67,-28
2,-67,-27
2,-67,-26
0,-67,-25
2,-67,-24
2,-67,-23
2,-67,-22
0,-67,-21
0,-67,-20
2,-67,-19
2,-67,-18
2,-67,-17
2,-67,-16
2,-66,-60
3,-66,-59
5,-66,-58
352,-66,-57
388,-66,-56
386,-66,-55
384,-66,-54
326,-66,-53
230,-66,-52
190,-66,-51
158,-66,-50
103,-66,-49
50,-66,-48
2,-66,-47
2,-66,-46
2,-66,-45
130,-66,-44
244,-66,-43
248,-66,-42
252,-66,-41
183,-66,-40
178,-66,-39
193,-66,-38
201,-66,-37
236,-66,-36
248,-66,-35
244,-66,-34
240,-66,-33
229,-66,-32
154,-66,-31
2,-66,-30
2,-66,-29
2,-66,-28
2,-66,-27
2,-66,-26
2,-66,-25
2,-66,-24
2,-66,-23
0,-66,-22
0,-66,-21
0,-66,-20
2,-66,-19
2,-66,-18
2,-66,-17
0,-66,-16
2,-65,-60
2,-65,-59
72,-65,-58
355,-65,-57
388,-65,-56
388,-65,-55
362,-65,-54
305,-65,-53
248,-65,-52
214,-65,-51
163,-65,-50
135,-65,-49
99,-65,-48
11,-65,-47
4,-65,-46
14,-65,-45
138,-65,-44
233,-65,-43
244,-65,-42
255,-65,-41
162,-65,-40
117,-65,-39
130,-65,-38
154,-65,-37
240,-65,-36
248,-65,-35
240,-65,-34
230,-65,-33
217,-65,-32
158,-65,-31
2,-65,-30
2,-65,-29
2,-65,-28
0,-65,-27
2,-65,-26
2,-65,-25
0,-65,-24
0,-65,-23
0,-65,-22
2,-65,-21
2,-65,-20
2,-65,-19
0,-65,-18
1,-65,-17
2,-65,-16
0,-64,-60
1,-64,-59
107,-64,-58
355,-64,-57
388,-64,-56
381,-64,-55
366,-64,-54
309,-64,-53
259,-64,-52
222,-64,-51
190,-64,-50
167,-64,-49
94,-64,-48
37,-64,-47
54,-64,-46
51,-64,-45
170,-64,-44
256,-64,-43
252,-64,-42
248,-64,-41
198,-64,-40
157,-64,-39
132,-64,-38
170,-64,-37
244,-64,-36
248,-64,-35
248,-64,-34
226,-64,-33
217,-64,-32
174,-64,-31
2,-64,-30
2,-64,-29
2,-64,-28
0,-64,-27
0,-64,-26
0,-64,-25
2,-64,-24
2,-64,-23
2,-64,-22
0,-64,-21
1,-64,-20
2,-64,-19
2,-64,-18
0,-64,-17
0,-64,-16
0,-63,-60
2,-63,-59
111,-63,-58
374,-63,-57
388,-63,-56
384,-63,-55
368,-63,-54
305,-63,-53
262,-63,-52
236,-63,-51
206,-63,-50
178,-63,-49
126,-63,-48
6,-63,-47
30,-63,-46
62,-63,-45
187,-63,-44
244,-63,-43
256,-63,-42
256,-63,-41
242,-63,-40
233,-63,-39
237,-63,-38
240,-63,-37
248,-63,-36
248,-63,-35
248,-63,-34
202,-63,-33
180,-63,-32
213,-63,-31
2,-63,-30
0,-63,-29
2,-63,-28
4,-63,-27
2,-63,-26
2,-63,-25
2,-63,-24
2,-63,-23
2,-63,-22
2,-63,-21
0,-63,-20
0,-63,-19
2,-63,-18
2,-63,-17
2,-63,-16
2,-62,-60
0,-62,-59
132,-62,-58
377,-62,-57
388,-62,-56
384,-62,-55
381,-62,-54
